2025-07-29 04:37:44.004 355 Loaded 0 items
2025-07-29 06:12:46.897 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:46.897 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:46.923 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:46.923 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:46.941 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:47.001 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:47.001 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:47.009 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:47.050 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:47.050 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:28.522 309 Loaded 0 items
2025-07-29 06:19:28.522 309 Sync manager initialized: redroid/redroid_x86_64/redroid_x86_64:11/RD2A.211001.002/eng.frank.20240527.144006:userdebug/test-keys
2025-07-29 06:19:28.565 309 onStartUser: user=0
2025-07-29 06:19:28.603 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:28.605 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:28.605 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:28.605 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:28.606 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:28.640 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:28.665 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:28.726 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:28.741 309 rescheduleSyncs() ep=ALL ACCS/ALL PDRS:u-1 why=network reconnect
2025-07-29 06:19:28.741 309 Loaded persisted syncs: 0 periodic syncs, 0 oneshot syncs, 13 total system server jobs, JobStats: FirstLoad: 4/4/0 LastSave: -1/-1/-1
2025-07-29 06:19:28.834 309 onUnlockUser: user=0
2025-07-29 06:19:28.855 309 updateRunningAccountsH: []
2025-07-29 06:19:28.855 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:28.865 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:28.931 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:28.931 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:29.873 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:29.873 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:29.903 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:29.903 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:29.919 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:29.974 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:29.974 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:29.983 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:30.022 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:19:30.022 309 scheduleSync: no accounts configured, dropping
